audio-0.300-1.500|From behind my seat.
audio-4683.900-4689.500|Mike and I are going to do it this year rooster said suddenly we were going to surprise you guys.
audio-4689.300-4691.700|I looked down at him.
audio-4692.500-4711.400|what he said we were you know, Mike man with a plan he made a training schedule for us you the whole thing figured out we were going to buy used canoe as soon as the lakes on so why didn't you sue said Rooster stared at me like drop the idea.
audio-4711.200-4715.100|He said you just dropped it.
audio-4714.900-4717.700|You said that doesn't sound like Mike.
audio-4717.500-4720.300|I think there was something else on his mind.
audio-4720.100-4726.300|I think it was actually really worried about something my face filled with heat.
audio-4726.100-4729.900|This could not be happening after moment.
audio-4729.700-4733.000|I got off the table and walked away free of the crowd.
audio-4732.800-4734.800|I stopped and leaned against the tree.
audio-4734.600-4742.100|I looked out at the lake picnic point across the water the Anchorage sailboat that marked the turning around point of the race.
audio-4741.900-4744.000|He's sorry.
audio-4743.800-4747.400|Jamie said she'd come to stand in front of me.
audio-4747.200-4751.100|He really is care look at him.
audio-4751.900-4755.500|Rooster was sitting at the table now his forehead resting on his palms.
audio-4755.300-4757.500|Let's do something tonight.
audio-4757.300-4762.700|She said go to a girl movie and then stop off somewhere for you to disgusting.
audio-4762.500-4765.000|Sunday's have to visit Mike.
audio-4764.800-4765.600|What do you say?
audio-4766.400-4767.500|I don't think so.
audio-4768.400-4784.100|small lines appeared by the sides of her mouth Will you come and watch the end of the race with me without those guys I reached for her hand and least my fingers between her and I can't I said I really can't just go with them.
audio-4783.900-4785.000|Okay, and I'll call you tomorrow.
audio-4784.800-4787.400|She frowned and looked away.
audio-4788.200-4792.300|First thing tomorrow I said, I promise.
audio-4793.000-4796.100|Once they left I went back to the picnic table and sat down.
audio-4795.900-4800.600|I watch the end of the first heat and then the beginning of the second.
audio-4801.100-4816.100|A guy was coming toward me with a cautiously friendly look on his face as if he thought he knew me but wasn't sure he had light brown hair and wire frame glasses and more retro shirt burgundy and cream nylon and wide vertical stripes.
audio-4815.900-4817.600|Carrie.
audio-4817.400-4822.400|Carrie Bell I noted and they gave me a wide smile.
audio-4822.200-4827.400|It's Simon roads from mrs. Erikson's French class in 12th grade.
audio-4827.200-4830.600|I clap my hands my mouth.
audio-4830.400-4834.600|I am so sorry Simon, you look totally different.
audio-4834.400-4835.500|You look great.
audio-4835.300-4839.300|I added any left before I had time to be embarrassed.
audio-4839.100-4840.700|I look human.
audio-4840.500-4842.700|I just started sacrifice.
audio-4842.500-4844.600|My beauty is socks for more up-to-date.
audio-4844.400-4848.100|Look at 1782 hidden behind a curtain of hair.
audio-4847.900-4852.100|He's had a few rows over for me spend whole class periods.
audio-4851.900-4852.900|Doodling in a notebook.
audio-4852.700-4854.300|What's up?
audio-4854.100-4855.300|I said to him now.
audio-4855.100-4856.600|How are you?
audio-4856.400-4857.600|Do you still live in Madison?
audio-4858.300-4860.800|He shook his head New York.
audio-4860.600-4862.300|I'm visiting the rents.
audio-4862.100-4866.100|He turned and watched a couple of middle-aged men tried to buy with a canoe.
audio-4865.900-4871.700|So tell me he said whatever happened to Carrie Bell.
audio-4871.500-4873.900|Are you still in touch with Jamie Fletcher?
audio-4873.700-4876.700|I seem to recall a certain Inseparable Miss.
audio-4876.500-4878.800|She was just here.
audio-4878.600-4883.200|I said and Mike Maher cutest couple in the senior class.
audio-4883.000-4892.000|I blushed even then it has made me cringe the yearbook staff and made his pose for a picture and was the only picture of the two of us.
audio-4891.800-4896.200|I didn't like holding hands and look like.
audio-4896.000-4897.200|It made us both look retarded.
audio-4898.300-4899.200|We're engaged.
audio-4899.000-4902.400|I told Simon when's the happy day?
audio-4903.600-4907.300|I looked at the lake Mike's in the hospital.
audio-4907.100-4910.800|He was in a diving accident six weeks ago when he broke his neck.
audio-4911.800-4913.100|Oh my God.
audio-4912.900-4916.000|Simon said I'm so sorry.
audio-4915.800-4917.400|Thanks.
audio-4917.200-4923.300|We stood there without saying any more for what seemed like an age I should get going.
audio-4923.100-4926.200|I said are you on foot?
audio-4926.000-4931.400|He has a tainted look on his face and he didn't want to intrude we can walk together.
audio-4931.200-4934.400|Okay, I send though.
audio-4934.200-4940.300|I didn't know where we go or what we say why I was agreeing we wound up walking to campus.
audio-4941.300-4942.500|So, where'd you go to college?
audio-4942.300-4945.100|They said he looked embarrassed.
audio-4946.200-4948.900|Yeah, excuse me.
audio-4948.700-4959.200|At least I didn't say a little school in Connecticut is certain of my acquaintances have been known to do at least there's that we both smiled and he tipped his head toward the building.
audio-4959.000-4961.400|We were passing you want to hear?
audio-4962.100-4964.900|alas Are you in a sorority?
audio-4965.900-4978.000|Please I would have had to dye my hair blond and it half my brain cells surgically removed actually my crushed but then last minute he pulled out his dad was really into it.
audio-4977.800-4984.700|But Mike realized he'd be living with a bunch of guys out of Animal House and he decided no way he lives at home all four years.
audio-4984.500-4987.100|I'm always doing that.
audio-4986.900-4991.700|I've been said rushing around and change my mind about all kinds of guys.
audio-4991.500-4995.900|I studied him his face still in serious.
audio-4997.100-4999.600|Are you gay he nodded?
audio-5000.800-5001.900|Are you out?
audio-5002.500-5005.200|You mean with my parents he grinned.
audio-5005.000-5008.200|I broke the news last summer right after graduation.
audio-5008.000-5011.300|Thanks for flying all the way out here, Mom and Dad.
audio-5011.100-5015.700|Oh by the way, I'm gay actually doesn't seem to bother the munch.
audio-5016.400-5023.800|Sun shade table in the Union Terrace and we sat and talked through two cups of coffee each and then sandwiches and then ice cream cones.
audio-5023.600-5034.500|I found myself telling him more than I told anyone else about my slow cooling toward Mike for the accident my horrible numbness afterward the despair.
audio-5034.300-5035.100|I felt now.
audio-5035.900-5037.200|What are you going to do?
audio-5037.000-5046.700|Simon said what do you mean I asked how I knew was I going to be strong and good and devote myself to Mike or wasn't I?
audio-5046.500-5048.200|I don't know.
audio-5048.000-5049.500|I told Simon.
audio-5050.400-5051.600|He shook his head.
audio-5051.400-5055.300|I can't even imagine you must be in such pain.
audio-5055.100-5059.600|I nodded in tears to get my eyes, but rather than look away.
audio-5059.400-5062.900|He continue to look at me his face full of compassion.
audio-5062.700-5065.700|I hope you don't think this is weird.
audio-5065.500-5068.900|He said but I'm really glad I ran into you today.
audio-5068.700-5070.700|I am too.
audio-5071.400-5078.800|We've been sitting for hours and it was obviously time to leave we pushed back from our table and strolled through the union and said goodbye out front.
audio-5078.600-5083.700|I felt open an elevated or like the person I wanted to be then I'd felt in months.
audio-5084.800-5088.100|It was after 3 past time for me to visit Mike.
audio-5087.900-5089.900|I started toward home.
audio-5089.700-5093.900|I could read take a shower eat the watermelon.
audio-5093.700-5101.600|I bought the day before sit outside with my porch on shade the day would go by whether I went to the hospital or not.
audio-5104.900-5107.500|Add desk to D at the library on Monday.
audio-5107.300-5118.200|It was the most boring part of my job and I usually a crossword puzzle to work on when no one was looking or a magazine tucked into a partly closed drawer today was a magazine.
audio-5118.000-5126.400|I was reading covertly and keeping an eye on the closed door behind which Miss grafton's at one rooster came in at a little after 12:30.
audio-5126.200-5129.600|He marched over and said we have to talk.
audio-5130.500-5132.500|I glanced around and put a finger to my lips.
audio-5132.300-5134.600|Don't shush me.
audio-5134.400-5139.300|He said evenly I drove all the way up here just walk out into the hall with me.
audio-5140.300-5153.200|I got my purse from the staff room and headed for the door several Paces ahead of me rooster led the way down to the ground floor and out of the library not looking back once finally stopped and leaned against the building.
